Type,Type_spc,Specification,Product,Weburl
cMTXseries分離型,分離式人機介面機身輕薄，易安裝於控制箱中；本體不自帶螢幕，可自行搭配各式尺寸的螢幕或在平板、手機、電腦等裝置上以cMTViewer監控,FullHD1080pHDMITM高解析度輸出四核心CPU高效能3D處理器可在高解析度下執行影片播放，硬解1080pH.264支援自訂解析度16:9/4:3LCD顯示器薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建4GB儲存記憶體及萬年曆支援USBHost埠支援Gigabit乙太網路埠支援MPI187.5K內建電源隔離,cMT-FHDX-820,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=598
cMTXseries分離型,分離式人機介面機身輕薄，易安裝於控制箱中；本體不自帶螢幕，可自行搭配各式尺寸的螢幕或在平板、手機、電腦等裝置上以cMTViewer監控,薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建4GB儲存記憶體及萬年曆支援USBHost埠支援Gigabit乙太網路埠支援MPI187.5K內建電源隔離支援OPCUA伺服器,cMT-SVRX-820,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=598
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"7""800x480TFTLCD,LED背光燈四核心CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W支援MPI187.5K，同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939內建電源隔離NEMA4/IP66面板防護等級",cMT3072X2,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"7""1024x600寬視角LCD,LED背光燈四核心CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W支援MPI187.5K,同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939內建電源隔離NEMA4/IP66面板防護等級",cMT3072XH2,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"7""1024x600寬視角LCD,LED背光燈四核心CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W支援MPI187.5K,同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939內建電源隔離NEMA4/IP66面板防護等級鋁合金外殼可在複雜環境中穩定運作操作溫度最低可至-20°C",cMT3072XHT,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"9.7""1024x768TFTLCD四核心Cortex-A17CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆CANBus支援CANopen通訊協議COM2及COM3RS-4852W支援MPI187.5K同時間請擇一使用內建電源隔離NEMA4/IP66面板防護等級內建EasyAccess2.0授權",cMT3092X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"10.1""1024x600TFTLCD,LED背光燈內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W皆支援MPI187.5K，同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939無風扇冷卻系統主機板塗布保護處理，能抵抗在嚴苛環境中的腐蝕問題內建電源隔離NEMA4/IP66面板防護等級可搭配M02WiFi擴充模組，支援無線傳輸功能",cMT3102X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"10.1""1280x800寬視角LCD,LED背光燈內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W皆支援MPI187.5K，同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939無風扇冷卻系統主機板塗布保護處理，能抵抗在嚴苛環境中的腐蝕問題內建電源隔離NEMA4/IP66面板防護等級可搭配M02WiFi擴充模組，支援無線傳輸功能",cMT3108XP,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"10.1""1280x800寬視角LCD,LED背光燈內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W皆支援MPI187.5K，同時間請擇一使用CANBus支援CANopen,CANBus2.0A/2.0B,SAEJ1939無風扇冷卻系統主機板塗布保護處理，能抵抗在嚴苛環境中的腐蝕問題內建電源隔離NEMA4/IP66面板防護等級可搭配M02WiFi擴充模組，支援無線傳輸功能",cMT3108XH,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"15""1024x768VALCD四核心Cortex-A17CPU搭配高性能3D處理器強化玻璃電容式觸控面板無風扇冷卻系統內建4GB儲存記憶體及萬年曆支援SD卡擴充儲存容量CANBus支援CANopen通訊協議COM1及COM3RS-4852W支援MPI187.5K同時間請擇一使用COM1及COM3RS-485及CANBus內建隔離保護線路內建電源隔離NEMA4/IP66面板防護等級內建EasyAccess2.0授",cMT3152X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries進階型,全方位智慧型人機介面cMTX系列人機介面優異的效能讓操作有感升級，多項創新軟體加值功能，包含強化數據整合、行動監控與雲端應用等，是智慧型人機介面的首選,"oTP整合觸控面板解決方案具備全平面設計、高解析度與高穿透率的光學表現15.6""1920x1080寬視角LCD支援震動提示四核心Cortex-A17CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM1及COM3RS-4852W支援MPI187.5K同時間請擇一使用內建電源隔離NEMA4/IP66面板防護等",cMT3162X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=597
cMTXseries標準型,極速之巔，芯之所向搭載新一代4核心CPU，遠勝前代的運算能力。流暢、直覺的操作體驗多點觸控*、動畫特效，大幅提升操作流暢度。,"7""800x480TFTLCD,LED背光燈四核心Cortex-A35CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM2及COM3RS-4852W支援MPI187.5K，同時間請擇一使用內建電源隔離NEMA4/IP66面板防護等級",cMT2078X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=596
cMTXseries標準型,極速之巔，芯之所向搭載新一代5核心CPU，遠勝前代的運算能力。流暢、直覺的操作體驗多點觸控*、動畫特效，大幅提升操作流暢度。,"10.1""1024x600TFTLCD,LED背光燈內建4GB儲存記憶體及萬年曆無風扇冷卻系統COM2及COM3RS-4852W支援MPI187.5K*，同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕內建電源隔離NEMA4/IP66面板防護等級可搭配M02WiFi擴充模組，支援無線傳輸功能",cMT2108X2,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=596
cMTXseries標準型,極速之巔，芯之所向搭載新一代6核心CPU，遠勝前代的運算能力。流暢、直覺的操作體驗多點觸控*、動畫特效，大幅提升操作流暢度。,"12.1""1024x768寬視角LCD,LED背光燈無風扇冷卻系統內建4GB儲存記憶體及萬年曆支援MicroSD卡擴充儲存容量主機板塗布保護處理在嚴苛的環境中，能防止腐蝕COM2及COM3RS-4852W支援MPI187.5K，同時間請擇一使用內建電源隔離NEMA4/IP66面板防護等級",cMT2128X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=596
cMTXseries標準型,極速之巔，芯之所向搭載新一代7核心CPU，遠勝前代的運算能力。流暢、直覺的操作體驗多點觸控*、動畫特效，大幅提升操作流暢度。,"15""1024x768寬視角LCD四核心Cortex-A17CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆支援SD卡擴充儲存容量內建電源隔離NEMA4/IP66面板防護等級",cMT2158X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=596
cMTXseries標準型,極速之巔，芯之所向搭載新一代8核心CPU，遠勝前代的運算能力。流暢、直覺的操作體驗多點觸控*、動畫特效，大幅提升操作流暢度。,"oTP整合觸控面板解決方案具備全平面設計、高解析度與高穿透率的光學表現15.6""1920x1080寬視角LCD四核心CPU搭配高性能3D處理器無風扇冷卻系統內建4GB儲存記憶體及萬年曆COM1及COM3RS-4852W支援MPI187.5K，同時間請擇一使用內建電源隔離NEMA4/IP66面板防護等級",cMT2166X,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=596
iERseries,輕鬆安裝於嵌入式應用環境全平面安裝於控制箱，防塵又防水,"7""800x480TFTLCD,LED背光客製化設計控制盤面與銘版背鎖式人機界面能輕鬆安裝於嵌入式應用環境，固定支撐架可對應控制箱的板厚人機界面可全平面安裝於控制箱，防塵又防水無風扇冷卻系統COM1及COM3RS-485內建隔離器，雙隔離保護設計在複雜的接地環境中，能保障穩定的運作COM1及COM3RS-4852W支援MPI187.5K同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕NEMA4/IP65(需黏貼合適銘版)",iERseries,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=506
iPseries,iP系列全面升級，以滿足用戶各種不同應用的需求。,寬輸入電壓範圍10.5~28VDC比前一代更展現出極致效能，並提供絕佳的使用體驗精巧型人機介面iP系列全面升級，以滿足用戶各種不同應用與需求配備升級的CortexA8600MHzCPU處理器無縫自EB8000升級至EasyBuilderPro,MT8071iP,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=504
iPseries,iP系列全面升級，以滿足用戶各種不同應用的需求。,比前一代更展現出極致效能，並提供絕佳的使用體驗。精巧型人機介面iP系列全面升級，以滿足用戶各種不同應用與需求。配備升級的ARMRISC528MHz處理器寬輸入電壓範圍10.5~28VDC無縫自EB8000升級至EasyBuilderPro,MT8102iP,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=504
